grid number,amenity
91,rapid
143,rapid
145,rapid
145,rapid
148,rapid
175,rapid
205,rapid
216,rapid
242,rapid
242,rapid
242,rapid
246,rapid
249,rapid
249,rapid
287,rapid
328,rapid
