grid number,amenity
105,rapid
105,rapid
106,rapid
147,rapid
147,rapid
177,rapid
177,rapid
177,rapid
177,rapid
202,rapid
202,rapid
242,rapid
242,rapid
249,rapid
275,rapid
275,rapid
275,rapid
288,rapid
343,rapid
412,rapid
