grid number,amenity
89,fast
89,fast
89,fast
115,fast
115,fast
287,fast
287,fast
287,fast
287,fast
287,fast
287,fast
287,fast
287,fast
287,fast
343,fast
343,fast
343,fast
343,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
397,fast
